lot_sale_year,auction_house,title,artist_name,object_type,pounds
1802,Skinner and Dyke,"Landing of Horses from the Dieppe Packet at Brighton  [This work was painted before the breaking out of the war between England and France. At that time, they often brought horses by the packet, from Dieppe to Brighthelmstone, where the artist painted it after nature.  The fore-ground of the picture, presents the view of a shore, covered with different figures, and the sea, with fishing boats and other vessels.  On the left of the picture, advances a young man, leading by the halter, one of the horses just landed, and is followed by another, whom his guide can scarcely manage, being still in the sea, and frightened by the noise of the waves.  Numbers of spectators, are approaching, among whom two gentleman are conversing, and strictly examining the horse just landed.  Near them, a little boy that a dog is fawning upon, holds out his hat for alms; and behind, are a man, and a woman who holds in her arms a child, and an old man leaning upon his stick.  On the same side, is a groom mounted upon a horse that he has been bathing, whilst a fisherman, who seems tired, leans upon one of those turning posts, fixed by the sea-side; near, is a child who has just come out of the water, sitting employed in dressing himself.  In the centre of the picture, are two fishermen, one lying down upon the sand, and the other in boots, drawing his net that he had extended to dry:  he is standing and conversing with a woman who leans upon his shoulder; and near them, a greyhound has leapt into the water, and runs after the first horse that reaches the shore.  On the right of the picture, are seen two other fishermen, upon the shore, one sitting, and the other standing; they have near them, a basket of fish, and a dog who is going off; we distinguish also, on the same side, the Dieppe Packet-boat, and several little boats employed in the landing of the horses.  Already those who have assisted in getting the two horses on shore, are returned to the packet-boat; and we see another, in which is a man, who holds the halter of a third horse, descending into the sea, where he is swimming, and of which the head only is seen on the surface of the water; and farther, another bark is fastened by a rope to the packet, to lead another horse that is going to descend into the sea, and which is already suspended by a pulley]",Sir Fran. Bourgeois,Painting,51
1802,Skinner and Dyke,"Smugglers defeated  [This picture, on the right, offers us the view of the sea agitated, with some fishing smacks; and on the left, an enormous mass of rocks, on this side of which are the smugglers defeated by a detachment of dragoons.  One of them, having been wounded in the action, is in his shirt, sitting on a bale of merchandize, with his uniform lying beside him; and he is supporting himself by leaning on his sabre, with his left arm, whilst another dragoon dresses the wound he has received in his right.  Their horses are in the corner, attached to each other, and guarded by a dragoon who has dismounted.  One of the smugglers, is sitting in the fore-ground of the picture, and dressing his leg, in which he has been wounded; behind him, one of his companions, is seated on a cask of spirits, whilst three others, who are standing together, are engaged in conversation. Not far off, and loaded with smuggled merchandize, are their horses, one of whom is lying dead on the ground, over which the arms of the smugglers, are scattered; on the same side, a dragoon darts with velocity towards the right of the picture where a young Englishman ... is ... seizing the last of the smugglers, who is on a horse, loaded with a large portmanteau, and whose dog flies with fury at the dragoon]",Sir Fran. Bourgeois,Painting,110
1802,Skinner and Dyke,"A Landscape with Gleaners  [The right of the performance, is occupied by some trees, and a small farmhouse, at the door of which, a sportsman has just stopped, with his horse and dogs, and a young woman, accompanied by a child, is bringing him a bason of milk, which she has drawn from a cow that is near her; and on the other side, seated at the foot of a tree, a little boy is eating.  On this side the farm, are some trees, on which is a pigeon-house; and in the fore-ground, a hen and chickens, which she assembles under her wings, frightened at the sight of the dogs, whilst the cock boldly prepares himself to defend them.  Some gleaners, with the corn that they have collected, are on the left, and more retired, on the other side of a piece of water, are some reapers, in a field of corn; an even country forms the background, which continues 'till it is lost in the distance]",Sir Fran. Bourgeois,Painting,35
1802,Skinner and Dyke,"A small upright Landscape  [This represents a view taken in the mountains of Switzerland ... To the right, at the bottom of the picture, are seen some large pieces of rock; and in the middle of the picture, water, part of which is hid from the sight by stones and bushes.  On the left, is a man leading two mules, upon one of which a woman is seated.  On one side of the second ground, is seen a rugged road, with a man carrying a sack, who is climbing up, and seems suspended between heaven an earth.  On this second ground, which is of a considerable eminence, the eye enjoys the sight of some old firs, near which a man is leading some cattle to graze.  The third ground offers another eminence, which commands this, and is twice as considerable.  In the centre of the picture, between the first and second ground, is seen a man; and to the left, a cultivated country, with fine poplars, and a distance which gives pleasure to the eye]",Pynacker,Painting,13
1802,Skinner and Dyke,"A Sportsman with his Horse and Dogs  [small ... This picture represents a flat country of a rich verdure, with some little hills at a distance, and an horizon which descends very low.  One sees a huntsman just alighted from his horse, and near him, some dogs lying down, whilst he is putting a brace of hares into a bag.  The sky appears rainy, but the light strikes most happily on some parts]",Karel du Jardin,Painting,16
1803,Christie's,"Venus and Cupid an exquisite Cabinet bijou, in the highest Style of finishing of this very esteemed Master",Vander Werff,Painting,105
1802,Edwards (Edward),"Sea Piece, a capital picture of that great master",Brooking,Painting,15
1838,Christie's,"The well-known brilliant head called Blind Tobit, painted with great force and beauty of colour, and singularly pure.  Panel",Rembrandt,Painting,64
1838,Christie's,"A View on the River Y, off Amsterdam, during a fresh breeze.  A Dutch coaster is approaching in front carrying a red mainsail; on the larboard side of her is a small boat with three persons in it.  Two other boats, with a single sailor in each, are on either side, one with eel-baskets on board, and the other is moored to a port on the right.  Farther on to the left is a man-of-war at anchor; in the extreme distance a fine clear view of Amsterdam, with the port crowded with vessels.  The whole of this picture is executed with equal care and finish, and is certainly of the choicest quality.  Canvas",L. Backhuysen,Painting,71
1838,Christie's,"A summer afternoon, with the return of a hawking-party; on the right a road, beneath a high bank crowned with fine trees, winds towards and is lost in a broken and undulating country.  In a bend of the road is the party of a lady and gentleman, dogs, and huntsmen; two tired travellers are reposing on a yellow sand-bank on the declivity of the high hill, and looking on the scene. Engraved by Godfrey.  Panel",Wynants,Painting,42
1838,Christie's,"An undoubted, though an early picture, of this great and favourite master.  Panel",Albert Cuyp,Painting,13
1838,Christie's,"A Sea-View, with the effect of a strong breeze, attended by squalls.  A frigate in distress appears to be sinking, a second quite destitute of sail is beyond her, and two others in a similar state are visible in the distance; volumes of dense clouds appear to roll heavily along the horizon, casting their dark broad shadows over the waters.  A spirited and freely painted picture. See Smith's Catalogue Raisonnée, No. 170.  Canvas",W. Van de Velde,Painting,60
1838,Christie's,Loch Lomond: of the highest quality of this now favourite master.  Canvas,P. Naysmith,Painting,21
1838,Christie's,"The Ford: a lovely summer morning; on the left is a hill, with a sportsman ascending it, another with his dog coursing along the summit; beneath is a clear rivulet that has overflowed the road, and through which a man is wading with a woman on his back.  A charming serpentine road, winding far away through the vale, and here and there dotted with figures, by Lingelback, is seen to approach a distant village, with a picturesque church-steeple, surrounded by woods, and backed by a range of mountains, on whose declivities is occasionally seen a villa: -- from the whole of this fine distance the heat of the morning sun is slowly dispersing the mists of early morning",Wynants,Painting,74
1805,Christie's,"Dead Christ and the Three Marys, a cabinet gem",A. Carracci,Painting,39
1805,Christie's,Ditto [Diana] reposing after the Chase,Rubens,Painting,23
1838,Christie's,"View in Venice, Canaletti; Sea-piece, V. de Velde; and 5 others",Canaletti,Painting,13
1837,Christie's,"Bathsheba seated upon some white drapery, a rich dress lying by her side -- an attendant is drying her foot; a wonderful specimen of the power of this great master.  A picture of the first consequence",Rembrandt,Painting,110
1837,Christie's,"A Dutch fair in a landscape, with a square tower in the background; a singularly interesting and capital work of the master",Rembrandt,Painting,131
1837,Christie's,St. George killing the dragon.  This very curious picture was in the Collection of King Charles the First; and the genuine brand of the Royal Pictures is stamped on the back of the panel on which it is painted,Andrea Mantegna,Painting,16
1837,Christie's,A choir of angels appearing to St. Francis at his devotions; full of grand character.  From the Balbi Palace.  The picture is marked A.C.F.,A. Carracci,Painting,66
1837,Christie's,"The fall of the angels; a grand composition, displaying the great knowledge of drawing, and taste of this talented amateur",W.Y. Ottley,Painting,94
1837,Christie's,"The Adoration of the Shepherds; there is a masterly power in the drawing and execution of this picture, which is coloured in some parts with all the delicacy of Baroccio.  This great scholar of Raffaelle was almost constantly occupied in great works of fresco -- his easel pictures are therefore extremely rare",Perino del Vaga,Painting,65
1837,Christie's,"The Nativity; a very interesting specimen of the fancy of the artist, who has inserted his name in the Greek inscription at the top of the picture.  Portraits of the Dukes of Florence are introduced, see Mr. Ottley's Italian School of Designs, p. 405.  From the Villa Aldobrandini",Sandro Botticelli,Painting,25
1836,Foster (Edward),Study of Goats,R. da Tivoli,Painting,3
1836,Foster (Edward),The Water Doctor; a cabinet picture,G. Douw,Painting,3
1836,Foster (Edward),"Diana reposing, in a woody Landscape, with Dogs and Dead Game",Murillo,Painting,5
1839,Christie's,Simeon with the Infant -- a capital specimen,Amiconi,Painting,38
1839,Christie's,"Peace and Plenty, and Union; a composition of three allegorical figures of life size; finely drawn and brilliantly coloured",A. Jansens,Painting,21
1839,Christie's,"A landscape, with a ruined château",Ruysdael,Painting,28
1804,Farebrother (Charles),"A sun shining day after a hard frost, the figures equal to Ostade",De Koning,Painting,13
1804,Farebrother (Charles),"A landscape with water and the ruins of an aquaduct, a chef d'oeuvre of that great master",R. Willson,Painting,57
1804,Farebrother (Charles),The Rialto at Venice,Canaletti,Painting,2
1804,Farebrother (Charles),"Sketch of the large picture now in the National Museum at Paris, the plague of the Philistines, on removing the ark into the temple of Dagon",N. Poussin,Painting,3
1804,Farebrother (Charles),Portrait of Govartius reading,Frankhalls,Painting,2
1801,Christie's,"Philip baptizing the Eunuch, a rich picture",Cuyp,Painting,22
1836,Foster (Edward),Bath of Diana,Rembrandt,Painting,13
1836,Foster (Edward),Moonlight,Vanderneer,Painting,4
1836,Foster (Edward),A Horse Fair on the Rhine; a beautiful cabinet gem,P. Wouvermans,Painting,19
1836,Foster (Edward),A Pastoral Scene; elaborately finished,Antonissen,Painting,17
1836,Foster (Edward),Portrait of Duc D'Albert,Rubens,Painting,52
1836,Foster (Edward),"Interior of the Great Church at Haarlem, with Figures; admirably finished",De Lorme,Painting,13
1836,Christie's,Peasants passing a ford in the shade of a fine group of trees; other figures are crossing a bridge in the half distance; a beautiful mountainous country is seen to the left,Claude,Painting,99
1836,Christie's,"A landscape, with a ruined castle on the bank of a river, and water falling over rocks in the foreground",Ruysdael,Painting,42
1836,Christie's,"A View over the Campagna of Rome.  A villa and a noble group of trees, under which figures are reposing, form the foreground; the Tiber winds towards the city, which, in a glowing sun, forms the centre of the picture; a beautiful mountainous background completes the scene; a splendid production",Wilson,Painting,231
1836,Christie's,"Interior, with a man tuning a violin, and a woman singing ballads, a man pouring out a glass of liquor; a richly coloured specimen",A. Ostade,Painting,33
1836,Christie's,"A classical landscape, with several nymphs dancing round a large tree, and on one of the branches hangs a wreath of flowers; this picture is elegantly treated and richly coloured: from the Le Brun Gallery, on copper, engraved by C.S. Gauchez",G. de Crayer,Painting,18
1836,Christie's,"The interior of a large rustic room, in which are several persons drinking and smoking round a table; amongst them is a man seated with his back to the spectator, and another on a form lighting his pipe; near this group is a man playing the hurdy-gurdy, and a boy accompanying him on a fiddle. Signed A. Ostade.  This choice picture originally belonged to the rare cabinet of M. de Calonne, Prime Minister to Louis XV.",A. Ostade,Painting,105
1805,Christie's,The Holy Family -- very fine,Le Brun,Painting,17
1805,Christie's,"A Sea Port, a warm Evening",Vernet,Painting,21
1805,Christie's,The Marriage of Joseph and the Virgin,E. Quellinus,Painting,11
1805,Christie's,"A View from Nature, morning -- equally fine",Pether,Painting,18
1805,Christie's,"A Landscape -- an interesting and beautiful picture, in high preservation",Pynaker,Painting,21
1805,Christie's,Dead Christ -- A Fine Composition,Lud. Caracci,Painting,13
1805,Christie's,"A Landscape, Horses and Figures",Cuyp,Painting,14
1805,Christie's,A Frost Piece -- a beautiful cabinet picture,Cuyp,Painting,28
1805,Abbott (William),Emblematical,Old Frank,Painting,13
1805,Abbott (William),Landscape and Figures,Wouvermans,Painting,14
1845,Christie's,"An Officer dressed in a black hat and feather, with a gorget on his breast, and a gold chain.  A portrait full of dignity and character, and worthy of Rembrandt.  An admirable specimen.  Engraved.",F. Bol,Painting,29
1845,Christie's,"The Musical Cook-Maid.  A kichen, in front of which sits a young woman dessed in a yellow jacket and a green skirt, having on her lap a duck on a dish, which she appears to have just plucked; and is now playing on a pipe to arouse a child by her side.  Her skill has also attracted the attention of a  youth, who stands by with a staff in his hand listening.  A basket containing feathers, and a pail with an earthern pan on it, are in front, and a variety of culinary objects are about the place. A highly wrought production. 11 in. by 9 1/2 in.  P[anel]  Supplement to Smith's Catalogue Raisonné, page 27.",Peter van Slingelandt,Painting,69
1845,Christie's,A Dead Hare and Birds:  with a spaniel and fowling-piece resting against a tree; seen in a wooded and beauiful landscape.  A most exquisitely finished specimen of this rare master.  13 1/2 in. by 11 in.  C[anvas].  From the collection of Lord Charles Townshend.,Peter Gysels,Painting,53
1845,Christie's,"The Infant Diana:  a pretty little girl, the size of life, appears in a garden scene in a fancy costume as Diana; she is of fair complexion, with light curling hair, and is engaged in feeding a bullfinch from a shell, and rests her left foot on the stone basin of a fountain, out of which a handsome spaniel is drinking.  Painted with a richness of colour, and intensity of effect, worthy of this popular scholar of Rembrandt.  Signed N. Maes.  4 ft. 1 in. by 2 ft. 4 in.  C[anvas].",Nicholas Maes,Painting,27
1845,Christie's,"An Herdsman driving hom Cattle at Evening, seen in a mountainous and woody landscape, looking down into a picturesque vale.  The setting sun illumines the principal objects with magic effect.  A choice gem.  Signed and dated 1649.",Swaneveldt,Painting,39
1845,Christie's,"A Cock and three Hens, and other objects.  In a farmyard is seen a majestic cock (probably the model spoken of in the Life of Hondikoeter) and three hens, one sitting on a basket; a turkey and accessories.  A pigeon on full wing in the air and beyond, a building: in the centre the prospect is opened into a delightful distance.  A truly admirable example of the master.  3 ft. 4 in. by 3 ft.  C[anvas].  From the collection of Lady Hampden.",Melchior Hondikoeter,Painting,42
1845,Christie's,"A Ram and two Sheep -- the size of life, grouped in a landscape with a thick foeground of docks, and other wild herbage; admirably painted and with perfect truth to nature.  A very important and cap-ital work of this master.  Signed.",J. van Stry,Painting,30
1845,Christie's,"The Interior in the Sculptor's Studio.  A man in picturesque dress, with a lighted candle in his hand, appears in the studio of a sculptor, gazing with rapture on the bust of a beautiful female.  Painted with strong effect of candlelight, and elaborately finished.",Adrian van der Werff,Painting,16
1845,Christie's,"A Perspective View of the Nave of a Church in Holland, illumined by a warm glow of evening sunshine.  In the nearer part of the picture are two gravediggers, and two children with a dog, upon the latter of whom the sunlight falls with a truth and clearness that never have been surpassed.  Other figures elegantly attired are seen more removed.  A chef d'oeuvre of this master.  The figures are by his brother, Job Berkheyden.  3 ft. by 3 ft. 3 in.  C[anvas].  From the Lapeyrière Collection. Sold in Paris in 1825.",Gerrard Berkheyden,Painting,52
1845,Christie's,"La Petite Soeur:  a girl wearing a cap and a striped dress, inclining her head on one side, and looking steadfastly at some object.  Painted with great spirit and truth to nature.  Engraved.  13 in. by 10 1/2 in.  C[anvas].  Smith's Catalogue Raisonné, part viii, page 433.",Jean Baptiste Greuze,Painting,35
1845,Christie's,"Le Jeu aux Quilles.  In the skittle-ground of a guyngette are assembled twenty persons, engaged in drinking, smoking, playing at nine-pins, and other recreations.  The figure in the principal group has just helped a woman to a glass of wine, and beyond them a party are eagerly playing their game of nine-pins.  The scene is surrounded by picturesque buildings, with thatched roofs, and terminated by a umbrageous tree, and other foliage.  A matchless chef-d'oeuvre of the master.  Signed and dated 1682.  22 1/2 in. by 19 1/2 in.  C[anvas]  Purchased by the present proprietor from the collection of the late W. Hastings, Esq.",Cornelius Dusart,Painting,158
1845,Christie's,"Interior of a Kitchen, in which are seen two females engaged in culinary employments, whilst two boys are beyond looking on.  The details and accessories are carefully finished and the whole presents a most desirable example of this highly esteemed and rare master.  18 in. by 19 in.  P[anel].  Exhibited by the proprietor in the British Gallery in 1838.",Nicholas Maes,Painting,44
1845,Christie's,"The Interior of an Apartment, in which a young lady richly habited is standing by a harpsichord.  The sunlight is admitted from a side window, with the effect of De Hooghe.  Highly finished.  An excellent example of this rare mater.  21 in. by 18 in.  C[anvas]  From the collection of E. Solly, Esq.","Van der Meer, of Delft",Painting,15
1845,Christie's,"A Village Fair.  A row of cottages, and several stalls and booths occupy the rght, and numerous figures are dispersed throughout the busy scene; amongst them is an old woman sitting in a chair by the side of a cask, and distributing drink to those around.  A lovely gem  9 in. P[anel].  (Circle.)  From the collection of St. Victor.  Smith's Catalogue Raisonné, part 1, No.165.",Adrian Ostade,Painting,78
1845,Christie's,"Storm off the Coast of the Mediterranean.  On the left are high cliffs, with a building on the summit; towards the centre a lofty rock, and in the mid-distance a lighthouse.  Out to sea to the right are several vessels endeavouring to weather the storm and close to shore is a fishing boat in distress, and figures on the beach hurrying to the rescue.  The whole is canopied by a tempestuous and effective sky.  An excellent example.",Vernet,Painting,63
1845,Christie's,"The Portrait of Paul Pontius, the celebrated engraver, seen in a front view, life size, dressed in a black satin doublet slashed with white, with slashed sleeves, and a mantle thrown over his left shoulder, while the forefinger of that hand is pointing downwards; very effrecive, and spirited.  A most capital portrait.  Etched in a masterly manner by Van Dyck.  29 1/2 in. by 25 in.  C[anvas].  From the collection of Cardinal Valentine.",Van Dyck,Painting,16
1839,Christie's,"The Legate of Gregory XIII. Delivering the Bull, Conforming the Congregation of Priests of the Oratory, to St. Philip de Neri the Founder -- Portraits",Titian,Painting,32
1838,Christie's,"A cavalier with a grey horse, and numerous figures at a farrier's shop; a brilliantly coloured and highly finished specimen",Bredael,Painting,16
1838,Christie's,A girl at a window with a dead hare; very highly finished,A. Clevenberg,Painting,7
1838,Christie's,"Numerous Dutch yachts and vessels at anchor in a calm evening, painted in a rich glowing tone; a beautiful specimen",J. Van Os,Painting,27
1838,Christie's,"The Sick Lady; an interior of an apartment, with a physician feeling the pulse of a lady in a rich dress; a boy seated on the ground with a bow and bolts; an old man is seated in another apartment; a charming specimen, full of subject",Jan Steen,Painting,50
1838,Christie's,A group of fruits and flowers; beautifully disposed and exquisitely finished,"Van Brussel, 1798",Painting,28
1838,Christie's,"Figures with cattle at a river, near a ruined bridge; painted with capital effect",Berghem,Painting,35
1836,Christie's,"The Virgin and Child, with Joseph presenting a Saint; a charming composition and exquisitely drawn",L. da Vinci,Painting,17
1836,Christie's,A gentleman and a lady in a landscape; capitally painted,F. Bol,Painting,14
1805,Robins (Henry J. & George Henry),Children gathering Mulberies.  A pleasing Picture,G. Morland,Painting,20
1805,Robins (Henry J. & George Henry),The Effects of early Extravagance and Dissipation.  A highly finished and true Representation of Nature,G. Morland,Painting,60
1805,Robins (Henry J. & George Henry),"View in the Isle of Wight, exhibiting two Sailors on the look-out.  The Sea most admirably executed, and the whole a finished Performance [Cabinet]",G. Morland,Painting,16
1805,Robins (Henry J. & George Henry),"The Bear Hunt.  The whole painted from Nature with singular Spirit and Effect, in his very best Manner and Time.  A very scarce Subject with the Master",G. Morland,Painting,43
1840,Christie's,"The march of the French army in Egypt, with Napoleon upon a camel in the foreground",Courtreau,Painting,15
1840,Christie's,Portrait of Joan of Arragon,Raffaelle,Painting,35
1840,Christie's,"Portrait of Laura, writing at a table",Holbein,Painting,16
1805,Coxe (Peter),"The saving of a Wreck after a Storm, which has vented itself on a bleak inhospitable Shore.  The Versatility of the Genius of this Artist's Abilities is conspicuously displayed, and with surprising Effect in this very wonderful Performance, and the very highest Perfection of his Art; capital",Morland,Painting,49
1805,Coxe (Peter),"Venus at the Forge of Vulcan waiting for the Arms of Eneas; a Picture of uncommon Clearness, and formerly in the Possession of Lord Keppel",Luca Giordano,Painting,6
1805,Coxe (Peter),"Boaders Stone at Borrodale in Cumberland -- a pleasing and grand performance of that celebrated Spot, highly honourable to the powers of the Master's Pencil",Ibbetson,Painting,49
1838,Christie's,A boy eating maccaroni -- candlelight,Honthorst,Painting,13
1838,Christie's,"An Italian market, with numerous figures",Jan Miel,Painting,17
1838,Christie's,"The birth of Jupiter; a grand gallery picture, in the highest state of preservation",Schiavone,Painting,35
1836,Foster (Edward),"Group of Figures on foot and horseback, in a grand and highly finished Landscape, with Hunting Party pursuing the Sport in the distance",Cuyp,Painting,27
1836,Foster (Edward),"River View with numerous Vessels, enriched with a warm tone of colour",Verschuring,Painting,10
1836,Foster (Edward),Sultanas taking Coffee,Netscher,Painting,20
1805,Christie's,"A Pair of highly finished Pictures, the Finding of Moses and Companion",Huens,Painting,13
1805,Christie's,Church Piece,Steenwick,Painting,18
1805,Christie's,"The Virgin and Child, capital",Vouet,Painting,17
1805,Christie's,The Virgin and Child of the Rosary,Schidone,Painting,38
1848,Christie's,Cavaliers mounting their horses before a chäteau; and a post waggon in a landscape -- the companion.,Wouvermans,Painting,15
1848,Christie's,The Holy Family -- very richly coloured.,Bonifaccio,Painting,34
1840,Christie's,"The angel appearing to Hagar, seated in the desert; the infant Ishmael lying on the ground by her side, a fine landscape distance; a grand gallery picture",J. de Calcar,Painting,13
1840,Christie's,Cupids fishing -- inscribed Amo l'esca e non l'amo.,P. da Cortona,Painting,5
1840,Christie's,"Cupid and Psyche, with attendant Cupids",J. Tola,Painting,4
1840,Christie's,"A set of four subjects illustrative of the Seasons; the daughter of Jephthah, Boaz and Ruth, the spies in Canaan, and Jebudi bringing the roll of Jehoiakim; admirably painted",Tiepolo,Painting,21
1840,Christie's,"The Magdalen in the desert, attended by angels; a beautiful repetition of the Sciarra picture, engraved by Strange from the Rev. Holwell Carr's collection",Guido,Painting,31
1804,Christie's,The Infant Christ sleeping on his Cross -- sweet tone of Colouring,Guido,Painting,67
1804,Christie's,"A small Pieta, or Descent from the Cross -- fine",A. Carracci,Painting,20
1804,Christie's,"A Magdalen.  A beautiful Picture of this scarce Master, as fine as An. Carracci",Scarsellino di Ferrara,Painting,26
1804,Christie's,"The Judgment of Paris, an elegant Composition, in Fresco, possessing much of the Taste of the Antique -- curious and fine",Italian,Painting,9
1804,Christie's,"Portrait of Queen Elizabeth, engraved by Passe",Oliver,Painting,12
1804,Christie's,"Portrait of Cosmo the Great, first Duke of Tuscany",Bronzino,Painting,7
1804,Christie's,"Bathsheba -- finely coloured, a well-known Picture",Rembrandt,Painting,79
1804,Christie's,Fishermen putting to Sea -- Capital,Gainsborough,Painting,34
1804,Christie's,A winter Scene in Holland,J. Ostade,Painting,53
1804,Christie's,"Boys Gambling, highly finished",Vanderulft,Painting,16
1804,Christie's,A View in Venice,Canaletti,Painting,16
1839,Christie's,The continence of Scipio; a rich composition brilliantly and powerfully executed,Eckhout,Painting,22
1839,Christie's,"Men-of-war in Zuyder Zee, with dmall boats putting off; a brilliant sun appearing through the opening of a clouded sky, falls powerfully upon the nearer vessel; a capital picture",Backhuysen,Painting,189
1839,Christie's,"A classical landscape, with nymphs observing Narcissus, who is lying on the bank of a river",Swaneveldt,Painting,22
1839,Christie's,"The Elements, a set of four pictures; very fine and elaborate specimens of the masters",Breughel,Painting,84
1839,Christie's,"View off the Dutch coast, with fishing-boats in a breeze",Die Vlieger,Painting,7
1839,Christie's,"A set of ten ditto [small subjects], to the New Testament",Bird,Painting,24
1839,Christie's,"A horse-fair in the neighborhood of Rome, near a ruined archway; a marble group of Hercules and Lycas is brilliantly lighted by a setting sun; a capital work",Hughtenborg,Painting,22
1836,Christie's,The Death of the Virgin; a grand composition of many figures; the heads full of beautiful character,Guido,Painting,200
1836,Christie's,"View of St. Mark's Church and the Great Square, with groups of spirited figures",Canaletti,Painting,13
1836,Christie's,Niobe,Wilson,Painting,9
1836,Christie's,The Annunciation -- after,Guido,Painting,20
1837,Christie's,The appointed hour,Herbert,Painting,49
1837,Christie's,A Moorish girl,"Chalon, R.A.",Painting,13
1837,Christie's,Mary,"Leslie, R.A.",Painting,32
1837,Christie's,Lady Ann,"Leslie, R.A.",Painting,16
1837,Christie's,Love,Parris,Painting,16
1839,Christie's,Portraits of Copernicus and Colbert -- a pair,Fradelle,Painting,1
1839,Christie's,"A camp-scene, before Courtray, with the Prince de Conde and a party of officers in the foreground; capitally painted","Teniers, 1565",Painting,31
1839,Christie's,Portraits of Erasmus and Cardinal Richelieu -- a pair,Buss,Painting,2
1839,Christie's,"Bolton Abbey, after",Landseer,Painting,14
1839,Christie's,"A woody landscape, with figures",Swaneveldt,Painting,31
1839,Christie's,View of an Italian town,Canaletti,Painting,4
1839,Christie's,"A ship stranded on a rocky shelving coast, up which figures are escaping from the wreck; the horizon is lighted up by a flash of lightening",Vernet,Painting,19
1839,Christie's,Jacob and Rebecca at the well watering sheep,Murillo,Painting,22
1839,Christie's,"An upright landscape, with a party of ladies in a boat; brilliantly coloured",Watteau,Painting,61
1839,Christie's,Portrait of a gentleman in a black dress; capitally painted,Cuyp,Painting,18
1839,Christie's,"The Virgin, standing before the sleeping Infant, looking upon St. John",Parmegiano,Painting,15
1839,Christie's,Shooting,Morland,Painting,5
1839,Christie's,The towing-horse; the capital well-known picture,Constable,Painting,50
1839,Christie's,Roman ruins and figures,Pannini,Painting,19
1839,Christie's,"A rivulet running through a rocky valley, with sheep in the mountainous distance; very free and spirited",Gainsborough,Painting,34
1839,Christie's,A river with locks; coloured with beautiful effect,Constable,Painting,32
1839,Christie's,A woman in conversation with a man at a pump,Morland,Painting,22
1839,Christie's,The companion picture,Zuccarelli,Painting,13
1839,Christie's,"A landscape, with three figures -- storm, upright",Morland,Painting,15
1840,Christie's,"A brown and a grey horse, beyond which are two figures, in a meadow on the bank of a river, near which cattle are reposing; coloured with capital effect",Cuyp,Painting,18
1804,Christie's,"Neapolitan Beggars at their Repast, capital",Murillo,Painting,25
1804,Christie's,"The Adoration of the Magi, capital",Tintoretto,Painting,64
1804,Christie's,St. John and St. Peter at the Gate of the Temple,Stella,Painting,24
1804,Christie's,"Landscape, circle, Christ and the Woman at the Well",Domenichino,Painting,26
1804,Christie's,View of Tivoli with a Waterfall,Vernet,Painting,61
1801,Christie's,"A View of the Hague, a River Scene",Van Goyen,Painting,16
1804,Christie's,The Garden of Love,Rubens,Painting,10
1804,Christie's,Apollo,Guercino,Painting,9
1804,Christie's,Esther and Ahasuerus -- very grand and capital [The Four following Pictures were the complete Furniture of the Chapel of a religious House near Ferrara],P. Veronese,Painting,56
1804,Christie's,"Mars and Venus, a truly capital Picture of the Master:  from the Orleans Collection",P. Veronese,Painting,9
1804,Christie's,"The Raising of Lazarus, a noble composition, an undoubted and capital Picture of the Master",Tintoretto,Painting,75
1804,Christie's,The Portraits of John and Hubert Van Eyck,J. Van Eyck,Painting,5
1804,Christie's,The Riot at Bolognia,H. Gobo Caracci,Painting,12
1804,Christie's,"The Rape of Helen, a most spirited and expressive Picture",Tintoretto,Painting,49
1804,Christie's,Christ crowned with Thorns,Giorgione,Painting,12
1804,Christie's,Holy Family,A. del Sarto,Painting,5
1840,Christie's,"The Virgin nursing the Infant, in a landscape, with Angels above, St. Joseph seen following the donkey in the distance",Correggio,Painting,28
1840,Christie's,"Head of the Virgin, in a blue drapery; exquisitely finished -- oval",C. Dolce,Painting,13
1840,Christie's,The Nativity; from the French Chapel at Rome,Correggio,Painting,51
1840,Christie's,"The Virgin and Child, with St. John; St. Joseph reposing behind them; brilliantly coloured",L. Carracci,Painting,15
1840,Christie's,"A Cure riding near a river, with other figures",Zuccarelli,Painting,19
1840,Christie's,"The Virgin, in a red and blue drapery, with the infant standing in her lap, a green curtain suspended behind",Domenichino,Painting,24
1836,Christie's,"A garden scene, with sculpture, a group of elegant figures in conversation; a richly coloured and beautiful specimen",Watteau,Painting,22
1837,Christie's,"View off the back of the Isle of Wight, with a man shrimping; a capital specimen",Morland,Painting,30
1837,Christie's,Don Quixote and his neice,Franklin,Painting,6
1805,Skinner and Dyke,"Cupid, full of sweetness and truth",Correggio,Painting,21
1805,Skinner and Dyke,"A Landscape and Figures, very highly finished and in perfect preservation",Wynants,Painting,21
1805,Skinner and Dyke,"St. Jerome in Contemplation, very highly finished",G. Douw,Painting,43
1805,Skinner and Dyke,Professor Emo of Venice,Tinelli,Painting,13
1805,Skinner and Dyke,"Venus and Cupid, a genuine picture, in an elevated stile",A. Carracci,Painting,45
1805,Skinner and Dyke,"A Landscape and Figures -- View of the Castle Gondolpho on the Lake Albano, and the Campagna Felix of Rome in the Off-skip, -- the most perfect and beautiful picture of this great master.  This sweet, simple, chaste and inobtrusive picture, was painted by Claude Lorrain, for Pope Urban the VIIIth, agreeable to the Liber Veritatis No. 35.",Claude,Painting,65
